bc_num,coll_code,HW,HL,SL,EL,FL,ML,PL,PPL,GL,CI,EI,SI,FLI,WL,TL,caste,species,country,comment
640345,KG110520-12,1.324,1.126,1.042,0.282,0.845,2.056,0.591,0.31,1.549,117.5844,25.0444,78.7009,63.8218,0.901,5.632,gyne,mikromelanos,Panama,none
640346,KG110520-12,1.324,1.155,1.07,0.253,0.859,2.056,0.62,0.31,1.577,114.632,21.9048,80.8157,64.8792,0.93,5.718,gyne,mikromelanos,Panama,none
640347,KG110520-12,1.295,1.155,1.014,0.253,0.817,2.028,0.62,0.282,1.577,112.1212,21.9048,78.3012,63.0888,0.902,5.662,gyne,mikromelanos,Panama,none
640348,KG110515-06,1.38,1.155,1.014,0.253,0.873,2.056,0.563,0.31,1.577,119.4805,21.9048,73.4783,63.2609,0.873,5.661,gyne,mikromelanos,Panama,none
640349,KG110515-08,1.267,1.126,1.042,0.253,0.817,2.112,0.507,0.31,1.605,112.5222,22.4689,82.2415,64.483,0.817,5.66,gyne,mikromelanos,Panama,none
640350,KG110515-08,1.274,1.126,1.014,0.253,0.831,2.056,0.648,0.338,1.577,113.1439,22.4689,79.5918,65.2276,0.986,5.745,gyne,mikromelanos,Panama,none
640351,KG110515-08,1.267,1.126,1.042,0.282,0.817,2.028,0.591,0.338,1.577,112.5222,25.0444,82.2415,64.483,0.929,5.66,gyne,mikromelanos,Panama,none
640352,KG110515-08,1.295,1.155,1.042,0.282,0.845,2.056,0.648,0.31,1.605,112.1212,24.4156,80.4633,65.251,0.958,5.774,gyne,mikromelanos,Panama,none
640353,KG110515-08,1.267,1.126,0.986,0.282,0.803,1.999,0.535,0.338,1.605,112.5222,25.0444,77.8216,63.3781,0.873,5.603,gyne,mikromelanos,Panama,none
640359,KG110520-03,1.281,1.098,1.014,0.253,0.845,1.971,0.563,0.282,1.577,116.6667,23.0419,79.1569,65.9641,0.845,5.491,gyne,mikromelanos,Panama,none
